"PayHub","PayHub"
"Pay with PayHub","Pay with PayHub"
"Mobile number","Mobile number"
"Birth year (Sadad only)","Birth year (Sadad only)"
"Sadad (Almadar)","Sadad (Almadar)"
"Moamalat","Moamalat"
"Mobicash","Mobicash"
"T-Lync","T-Lync"
"Adfali","Adfali"
"Confirm your payment","Confirm your payment"
"A one-time code has been sent to %1.","A one-time code has been sent to %1."
"Confirm","Confirm"
"Scan to pay","Scan to pay"
"Waiting for payment…","Waiting for payment…"
"Complete your payment","Complete your payment"
"Awaiting confirmation…","Awaiting confirmation…"
"Submitting…","Submitting…"
"Payment failed.","Payment failed."
"Invalid OTP.","Invalid OTP."
"Still waiting for confirmation…","Still waiting for confirmation…"
"Continue","Continue"
"Redirecting to payment provider…","Redirecting to payment provider…"
"Unrecognised PayHub flow.","Unrecognised PayHub flow."
"Refund failed: %1","Refund failed: %1"
"Payment could not be initiated: %1","Payment could not be initiated: %1"
"PayHub API key is not configured.","PayHub API key is not configured."
"No PayHub payment recorded on this order.","No PayHub payment recorded on this order."
